code,short_name,full_name,domain,domain_label,direction,role
femalepopulationage6yearsandabovewhoeverattendedschool,female_ever_attended_school,Female population age 6 years and above who ever attended school (%),education,Education,1,feature
populationbelowage15years,pop_below_15,Population below age 15 years (%),population_household,Population & household,-1,feature
sexratioofthetotalpopulationfemalesper1000males,sex_ratio_total,"Sex ratio of the total population (females per 1,000 males)",population_household,Population & household,1,feature
sexratioatbirthforchildrenborninthelastfiveyearsfemalesper1000males,sex_ratio_at_birth,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",population_household,Population & household,1,feature
childrenunderage5yearswhosebirthwasregisteredwiththecivilauthority,birth_registered,Children under age 5 years whose birth was registered with the civil authority (%),population_household,Population & household,1,feature
deathsinthelast3yearsregisteredwiththecivilauthority,death_registered,Deaths in the last 3 years registered with the civil authority (%),population_household,Population & household,1,feature
populationlivinginhouseholdswithelectricity,electricity,Population living in households with electricity (%),energy,Energy,1,feature
populationlivinginhouseholdswithanimproveddrinkingwatersource,improved_water,Population living in households with an improved drinkingwater source (%),wash,Water & sanitation (WASH),1,feature
populationlivinginhouseholdsthatuseanimprovedsanitationfacility,improved_sanitation,Population living in households that use an improved sanitation facility (%),wash,Water & sanitation (WASH),1,feature
householdsusingcleanfuelforcooking,clean_cooking_fuel,Households using clean fuel for cooking (%),energy,Energy,1,feature
householdsusingiodizedsalt,iodized_salt,Households using iodized salt (%),nutrition,Nutrition,1,feature
householdswithanyusualmembercoveredunderahealthinsurancefinancingscheme,health_insurance,Households with any usual member covered under a health insurance/financing scheme (%),population_household,Population & household,1,feature
childrenage5yearswhoattendedpreprimaryschoolduringtheschoolyear201920,preprimary_school,Children age 5 years who attended preprimary school during the school year 2019-20 (%),education,Education,1,feature
womenwhoareliterate,women_literate,Women who are literate (%),education,Education,1,feature
womenwith10ormoreyearsofschooling,women_10yr_schooling,Women with 10 or more years of schooling (%),education,Education,1,feature
womenage2024yearsmarriedbeforeage18years,married_before_18,Women age 2024 years married before age 18 years (%),women_empowerment,Women's empowerment & family planning,-1,feature
birthsinthe5yearsprecedingthesurveythatarethirdorhigherorder,birth_order_3plus,Births in the 5 years preceding the survey that are third or higher order (%),women_empowerment,Women's empowerment & family planning,-1,feature
womenage1519yearswhowerealreadymothersorpregnantatthetimeofthesurvey,teen_pregnancy,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),women_empowerment,Women's empowerment & family planning,-1,feature
