state,district,census_code,composite_score,composite_group,domain_score,domain_group,state_group,region,region_group
Andaman Nicobar Islands,Nicobar,35001.0,0.5757717490671338,2,0.5805943977067602,3,0,South,4
Andaman Nicobar Islands,North  & Middle Andaman,35002.0,0.6045210868167618,4,0.6002363706707109,3,0,South,4
Andaman Nicobar Islands,South Andaman,35003.0,0.6493700005635843,6,0.6953673785493837,7,0,South,4
Andhra Pradesh,Anantapur,28012.0,0.6223885849222722,5,0.6484374480379664,5,1,South,4
Andhra Pradesh,Chittoor,28013.0,0.6219657140314667,5,0.6533932326935938,5,1,South,4
Andhra Pradesh,East Godavari,28004.0,0.5215152868899147,1,0.5929249184271238,3,1,South,4
Andhra Pradesh,Guntur,28007.0,0.6065078687009482,4,0.6519644226856844,5,1,South,4
Andhra Pradesh,Krishna,28006.0,0.6395760867528305,5,0.685228627071323,6,1,South,4
Andhra Pradesh,Kurnool,28011.0,0.571122825156819,2,0.6060808639303418,3,1,South,4
Andhra Pradesh,Prakasam,28008.0,0.5272415241679326,1,0.5963334409879807,3,1,South,4
Andhra Pradesh,Srikakulam,28001.0,0.6207080154255848,5,0.6315398205956158,4,1,South,4
Andhra Pradesh,Sri Potti Sriramulu Nellore,28009.0,0.5888406206128463,3,0.6298265936530996,4,1,South,4
Andhra Pradesh,Visakhapatnam,28003.0,0.6144943794279588,4,0.6348581418595263,4,1,South,4
Andhra Pradesh,Vizianagaram,28002.0,0.6299959250914997,5,0.6237715909860038,4,1,South,4
Andhra Pradesh,West Godavari,28005.0,0.6194504564679654,5,0.6565505286941475,5,1,South,4
Andhra Pradesh,Y.S.R.,28010.0,0.6285320769238938,5,0.6693275177338293,6,1,South,4
Arunachal Pradesh,Anjaw,12016.0,0.4940652955960629,0,0.49685525150687393,0,2,North-East,3
Arunachal Pradesh,Changlang,12009.0,0.5558792580936791,2,0.5334161517809629,1,2,North-East,3
Arunachal Pradesh,Dibang Valley,12013.0,0.5386126983562985,1,0.5296157467604156,1,2,North-East,3
Arunachal Pradesh,East Kameng,12003.0,0.4767095042178913,0,0.47374763390898994,0,2,North-East,3
Arunachal Pradesh,East Siang,12007.0,0.4729730539279279,0,0.5347998511300652,1,2,North-East,3
Arunachal Pradesh,Kra Daadi,,0.5043966087170257,0,0.5513478651797785,2,2,North-East,3
Arunachal Pradesh,Kurung Kumey,12012.0,0.5302289963683796,1,0.5496497047354058,2,2,North-East,3
Arunachal Pradesh,Lohit,12015.0,0.5676374043618468,2,0.5793605670972706,3,2,North-East,3
Arunachal Pradesh,Longding,,0.47743021386329404,0,0.466416355550319,0,2,North-East,3
Arunachal Pradesh,Lower Dibang Valley,12014.0,0.5682285493792836,2,0.5780499514498295,3,2,North-East,3
Arunachal Pradesh,Lower Subansiri,12011.0,0.5432199159722674,1,0.5924057370380957,3,2,North-East,3
Arunachal Pradesh,Namsai,,0.5008635307855385,0,0.4920937576094403,0,2,North-East,3
Arunachal Pradesh,Papum Pare,12004.0,0.5086785538333242,0,0.5588476664031028,2,2,North-East,3
Arunachal Pradesh,Siang,,0.5304785600492571,1,0.5493187754757534,2,2,North-East,3
Arunachal Pradesh,Tawang,12001.0,0.5501315805475238,1,0.5922443447465091,3,2,North-East,3
Arunachal Pradesh,Tirap,12010.0,0.4994653936627229,0,0.5453463040916234,1,2,North-East,3
Arunachal Pradesh,Upper Siang,12008.0,0.4733892492234017,0,0.5091279603385642,0,2,North-East,3
Arunachal Pradesh,Upper Subansiri,12005.0,0.4762594880756459,0,0.46555409949437915,0,2,North-East,3
Arunachal Pradesh,West Kameng,12002.0,0.5179377912186482,1,0.5779752866903859,2,2,North-East,3
Arunachal Pradesh,West Siang,12006.0,0.46948541120506826,0,0.510717215944522,0,2,North-East,3
Assam,Baksa,18025.0,0.5546789533264843,2,0.5524891037565698,2,3,North-East,3
Assam,Barpeta,18004.0,0.5499646557508951,1,0.5499218120533603,2,3,North-East,3
Assam,Biswanath,,0.5575263722900157,2,0.5253641269029289,1,3,North-East,3
