state,district,census_code
Andaman Nicobar Islands,Nicobar,35001
Andaman Nicobar Islands,North  & Middle Andaman,35002
Andaman Nicobar Islands,South Andaman,35003
Andhra Pradesh,Anantapur,28012
Andhra Pradesh,Chittoor,28013
Andhra Pradesh,East Godavari,28004
Andhra Pradesh,Guntur,28007
Andhra Pradesh,Krishna,28006
Andhra Pradesh,Kurnool,28011
Andhra Pradesh,Prakasam,28008
Andhra Pradesh,Srikakulam,28001
Andhra Pradesh,Sri Potti Sriramulu Nellore,28009
Andhra Pradesh,Visakhapatnam,28003
Andhra Pradesh,Vizianagaram,28002
Andhra Pradesh,West Godavari,28005
Andhra Pradesh,Y.S.R.,28010
Arunachal Pradesh,Anjaw,12016
Arunachal Pradesh,Changlang,12009
Arunachal Pradesh,Dibang Valley,12013
Arunachal Pradesh,East Kameng,12003
Arunachal Pradesh,East Siang,12007
Arunachal Pradesh,Kra Daadi,
Arunachal Pradesh,Kurung Kumey,12012
Arunachal Pradesh,Lohit,12015
Arunachal Pradesh,Longding,
Arunachal Pradesh,Lower Dibang Valley,12014
Arunachal Pradesh,Lower Subansiri,12011
Arunachal Pradesh,Namsai,
Arunachal Pradesh,Papum Pare,12004
Arunachal Pradesh,Siang,
Arunachal Pradesh,Tawang,12001
Arunachal Pradesh,Tirap,12010
Arunachal Pradesh,Upper Siang,12008
Arunachal Pradesh,Upper Subansiri,12005
Arunachal Pradesh,West Kameng,12002
Arunachal Pradesh,West Siang,12006
Assam,Baksa,18025
Assam,Barpeta,18004
Assam,Biswanath,
Assam,Bongaigaon,18020
Assam,Cachar,18017
Assam,Charaideo,
Assam,Chirang,18021
Assam,Darrang,18026
Assam,Dhemaji,18009
Assam,Dhubri,18002
Assam,Dibrugarh,18011
Assam,Dima Hasao,18016
Assam,Goalpara,18003
Assam,Golaghat,18014
Assam,Hailakandi,18019
Assam,Hojai,
Assam,Jorhat,18013
Assam,Kamrup,18022
Assam,Kamrup Metropolitan,18023
Assam,Karbi Anglong,18015
Assam,Karimganj,18018
Assam,Kokrajhar,18001
Assam,Lakhimpur,18008
