child_stunted,child_wasted,child_severely_wasted,child_underweight,child_overweight,children_anaemic,women_15_19_anaemic,women_15_49_anaemic,nonpregnant_women_anaemic
21.6,15.7,7.8,24.6,1.5,37.7,48.0,38.3,38.4
27.0,27.0,8.3,42.8,0.7999999999999994,30.4,47.8,62.1,62.5
21.1,12.6,3.5,17.4,7.2,43.4,43.2,57.7,57.6
36.0,19.3,4.0,40.6,0.30000000000000027,55.8,50.0,50.5,50.3
27.1,14.8,6.3,27.9,0.5,54.9,43.9,51.8,51.8
23.1,14.3,3.8,22.4,3.4,66.8,65.2,63.0,63.2
23.8,17.8,8.1,26.9,3.6,59.3,54.6,59.5,59.8
29.8,14.3,5.2,21.1,4.2,65.7,59.0,60.3,60.4
50.5,16.7,6.0,46.3,1.0999999999999996,70.8,61.1,58.6,58.3
22.6,8.7,3.3,24.7,5.1,62.6,64.8,60.4,60.6
19.7,19.5,7.4,21.4,4.5,59.6,59.2,62.6,62.8
29.2,17.2,6.9,27.8,0.5,67.5,68.6,59.4,59.6
31.0,21.5,11.2,33.5,4.8,72.6,58.9,58.0,58.6
36.4,19.2,8.3,32.2,4.7,66.7,73.9,64.0,64.6
31.4,11.7,4.7,22.5,5.2,62.3,66.8,63.0,63.1
34.4,14.1,4.2,26.7,0.20000000000000018,60.6,60.2,56.1,56.1
23.6,14.3,7.5,16.0,2.9,57.1,42.2,35.9,36.9
26.3,16.3,8.3,25.0,3.9,65.3,67.1,57.2,57.1
16.9,18.1,7.8,16.0,4.6,88.6,67.7,62.9,64.3
35.7,15.8,8.5,14.2,10.2,51.7,39.5,26.2,26.9
24.6,8.6,4.2,10.3,9.0,51.5,40.4,35.2,35.3
28.8,9.4,5.7,14.5,20.199999999999996,62.0,37.2,22.6,24.299999999999997
29.2,15.1,5.3,13.9,5.8,62.4,42.2,34.8,35.5
24.5,12.7,4.9,12.900000000000002,7.6,52.5,51.5,47.2,47.6
15.8,20.6,14.2,13.8,4.2,38.400000000000006,37.7,34.1,35.0
14.3,7.6,2.9000000000000004,9.7,5.0,51.5,39.4,34.6,35.3
30.7,11.5,5.9,8.099999999999994,14.4,52.4,59.4,40.5,41.1
28.7,12.4,4.2,17.7,6.2,59.2,58.5,58.6,58.8
29.7,9.0,5.0,15.6,9.1,53.4,44.4,38.4,39.4
21.3,12.1,7.0,8.8,13.0,24.9,23.4,23.9,24.4
30.4,7.1,1.9000000000000004,9.0,21.1,89.6,76.3,59.1,59.2
38.6,13.8,7.3,16.0,11.7,48.4,53.0,32.0,32.4
30.4,12.5,5.0,12.0,13.5,51.0,27.200000000000003,29.2,29.4
36.8,12.2,8.1,19.2,9.0,60.4,39.2,36.7,36.6
24.2,23.2,11.9,13.400000000000002,15.5,66.6,50.9,37.4,38.4
24.5,15.1,8.1,16.2,14.9,45.6,36.7,30.5,31.2
41.2,17.0,6.2,34.0,8.6,78.6,76.6,73.6,73.8
29.8,19.5,7.5,26.2,6.1,63.5,70.7,64.8,65.6
42.7,27.1,13.7,41.0,3.3,79.8,67.8,64.4,65.1
46.2,20.2,7.4,35.3,8.8,77.2,73.8,70.6,71.4
28.7,30.7,12.5,38.2,3.3,61.8,57.6,57.4,58.2
39.0,23.5,7.3,34.8,4.0,69.7,76.1,72.3,72.6
42.7,19.5,8.5,39.7,4.5,70.4,68.8,65.2,65.7
42.0,27.0,9.1,33.1,5.6,66.8,69.9,70.4,71.4
37.2,18.3,10.1,25.7,3.5,73.1,59.3,62.9,62.9
48.5,21.5,6.7,37.8,6.0,73.1,65.2,63.2,63.0
27.3,20.6,8.4,32.0,2.0,66.4,64.3,70.8,72.0
30.6,23.6,11.3,21.7,12.5,73.1,70.9,60.5,61.1
38.9,24.3,14.3,35.4,5.4,60.7,66.9,64.9,65.5
26.3,19.2,5.4,25.5,2.3999999999999995,75.1,74.7,77.2,77.2
42.9,22.2,8.2,42.4,2.0,59.5,58.1,61.4,61.5
39.3,12.7,4.6,28.4,6.0,56.8,54.3,56.3,56.6
38.7,15.5,5.1,33.2,5.4,74.1,75.1,71.8,72.4
22.6,14.8,5.3,19.7,7.5,72.9,72.5,71.5,71.7
