,kmeans_raw,ward_raw,gmm_raw,kmeans_pca,ward_pca,gmm_pca,dbscan_pca,composite_index,domain_index,state,region,kmeans_pca80,kmeans_pca95,kmeans_pca_k3
kmeans_raw,1.0,0.40139957696003176,0.5522505604934708,0.8597794605606933,0.4766111974760923,0.4768136066039336,0.003292893697226217,0.11908968108154629,0.13908167350802816,0.23672448799170687,0.24665571267764347,0.5937612938120918,0.8388889575442944,0.3526850008478182
ward_raw,0.40139957696003176,1.0,0.4934175561526908,0.37393005956000663,0.47535037581351836,0.4876048728096975,0.004356164342639088,0.08537236127954236,0.12609109716648328,0.31409652908787977,0.3770972537667607,0.3993821447026066,0.3972449570557082,0.18725595561773545
gmm_raw,0.5522505604934708,0.4934175561526908,1.0,0.49843209002627087,0.4711804118635534,0.6123700500275774,0.0029924309856348844,0.10658828674899824,0.13387090813146685,0.27354311543012816,0.289553658988462,0.5073491207421277,0.5129469233795629,0.28222441623113703
kmeans_pca,0.8597794605606933,0.37393005956000663,0.49843209002627087,1.0,0.47157550122844405,0.456587893372899,0.004049821600301845,0.11601719108643142,0.14076619643786564,0.22692441009715414,0.24681311832642996,0.5710269998346826,0.8454480904230807,0.3480444830544388
ward_pca,0.4766111974760923,0.47535037581351836,0.4711804118635534,0.47157550122844405,1.0,0.5389030411567867,0.001762283116161016,0.09757316071042449,0.13350311820065758,0.2700716627037492,0.3112683816726984,0.44837511854425854,0.47834970968681734,0.28501847291449167
gmm_pca,0.4768136066039336,0.4876048728096975,0.6123700500275774,0.456587893372899,0.5389030411567867,1.0,0.002773665549091942,0.08735194783041356,0.10278050917534565,0.3261243628375743,0.38381686542259336,0.44438508282665534,0.4537447313177768,0.275488090782855
dbscan_pca,0.003292893697226217,0.004356164342639088,0.0029924309856348844,0.004049821600301845,0.001762283116161016,0.002773665549091942,1.0,0.00011808852647006635,5.224741625488433e-05,0.0018323197535815487,0.0015322970088808877,0.0035612866337458643,0.004628870874869148,0.001924051127729482
composite_index,0.11908968108154629,0.08537236127954236,0.10658828674899824,0.11601719108643142,0.09757316071042449,0.08735194783041356,0.00011808852647006635,1.0,0.16416104549186447,0.05517155380742801,0.054495565229847914,0.10986177828704709,0.11544583991821764,0.14746286022374377
domain_index,0.13908167350802816,0.12609109716648328,0.13387090813146685,0.14076619643786564,0.13350311820065758,0.10278050917534565,5.224741625488433e-05,0.16416104549186447,1.0,0.05990173730535833,0.09072215468722997,0.14915963979709204,0.13749123264207677,0.15325569573714337
state,0.23672448799170687,0.31409652908787977,0.27354311543012816,0.22692441009715414,0.2700716627037492,0.3261243628375743,0.0018323197535815487,0.05517155380742801,0.05990173730535833,1.0,0.36389192997073305,0.24464304771611128,0.22766497623955662,0.08403113323209113
region,0.24665571267764347,0.3770972537667607,0.289553658988462,0.24681311832642996,0.3112683816726984,0.38381686542259336,0.0015322970088808877,0.054495565229847914,0.09072215468722997,0.36389192997073305,1.0,0.2622826400288792,0.24796900845499772,0.1755819444181544
kmeans_pca80,0.5937612938120918,0.3993821447026066,0.5073491207421277,0.5710269998346826,0.44837511854425854,0.44438508282665534,0.0035612866337458643,0.10986177828704709,0.14915963979709204,0.24464304771611128,0.2622826400288792,1.0,0.5964070941118449,0.3713080030436853
kmeans_pca95,0.8388889575442944,0.3972449570557082,0.5129469233795629,0.8454480904230807,0.47834970968681734,0.4537447313177768,0.004628870874869148,0.11544583991821764,0.13749123264207677,0.22766497623955662,0.24796900845499772,0.5964070941118449,1.0,0.3556011601982115
kmeans_pca_k3,0.3526850008478182,0.18725595561773545,0.28222441623113703,0.3480444830544388,0.28501847291449167,0.275488090782855,0.001924051127729482,0.14746286022374377,0.15325569573714337,0.08403113323209113,0.1755819444181544,0.3713080030436853,0.3556011601982115,1.0
