grouping,n_groups,smallest_group,silhouette,davies_bouldin,calinski_harabasz,mean_outcome_eta2,distinct_features,stability_ari,stability_sd,note,eta2_child_stunted,eta2_child_wasted,eta2_child_severely_wasted,eta2_child_underweight,eta2_child_overweight,eta2_children_anaemic,eta2_women_15_19_anaemic,eta2_women_15_49_anaemic,eta2_nonpregnant_women_anaemic
state,34,2,0.11269571060842729,1.9049567489320314,26.041296943573133,0.5121122688534844,77,1.0,0.0,deterministic grouping - stability is 1.0 by construction,0.4024824233966767,0.43608716967540023,0.25743374166944355,0.5886488158813704,0.424050928049647,0.561119657866802,0.6167038785644261,0.6610508668529015,0.6614329377246925
ward_raw,8,48,0.07823300936796752,2.3453199731514722,53.51564590833948,0.27166444728710887,76,0.4948559246264824,0.07727433747335499,,0.2916228553688145,0.16109622509612248,0.06273773743950208,0.38188283385056854,0.1564540546074,0.34419382895417505,0.30538144750476776,0.37387794912750505,0.36773309363512435
gmm_pca,8,21,0.08240760665523862,2.3980703213465246,55.142057806575195,0.2705088850052867,76,0.4687131873426833,0.07808106340862936,,0.2974106529407129,0.19332939132426338,0.07532625517226793,0.389798289409854,0.2548415772665938,0.2738694723018038,0.2992317329749201,0.32564881058733747,0.3251237830698269
gmm_raw,8,44,0.08820115028006548,2.326154227116267,57.23206619156691,0.26488413084606033,76,0.49971327880300653,0.08108777193198226,,0.31473046911396946,0.19394379528030048,0.07368931329754544,0.3805254311076146,0.12297094640025188,0.30880052449678175,0.3072288152208264,0.342814102150414,0.3392537805468389
kmeans_raw,8,42,0.09882172898330327,2.3851517813997387,60.663524488344656,0.24813983911099655,76,0.6188599931566133,0.0867772835772262,,0.36361690501582,0.1627664169391965,0.06709635662131476,0.37225721895445135,0.16940007187364703,0.27928002196290264,0.2707148066967493,0.2751790843977171,0.27294766953717037
kmeans_pca,8,42,0.09683463631883858,2.3756525504174517,60.692760503510215,0.2332847930385199,76,0.6403482061220848,0.08790408360198575,,0.3533768289034287,0.1421600175177567,0.05943622552216075,0.34770084282187674,0.15273606838214482,0.2716899704268533,0.25451729035990006,0.26023719734280953,0.2577086960697486
kmeans_pca95,8,42,0.1000781878216125,2.368279960336973,60.67014174423832,0.23224241056041045,76,0.6178112882092797,0.08090638881094482,,0.356243183143304,0.1297289631243617,0.06147321530863532,0.33766711140290334,0.1622009897171078,0.2717465983488096,0.24997837605344014,0.2613193259087073,0.2598239320364249
kmeans_pca80,8,42,0.10088587180404927,2.352742250790708,60.25962732607543,0.2177780160751216,76,0.6194830617245344,0.09368387091390538,,0.34383082143681043,0.1344406869039528,0.07182379453930396,0.33070610852846943,0.12739015284295654,0.28250288630650805,0.218895660860849,0.22688302730732096,0.22352900594992303
ward_pca,8,21,0.08922382243176602,2.4059636033880514,53.48939753592819,0.20557940002231245,76,0.5353300078030209,0.0712106792028611,,0.3192612992904761,0.10963901326618657,0.057142776158161226,0.321712711013444,0.26036752529892276,0.2346543111268555,0.21344523880332017,0.16512160411944846,0.1688701211239973
region,6,74,0.0492049708894378,2.892678825264103,45.617495064209514,0.20556655073994307,75,1.0,0.0,deterministic grouping - stability is 1.0 by construction,0.20424823239096915,0.2574054542709668,0.10863162311247668,0.3622764414413957,0.15028646104753277,0.2146696304745406,0.16103534565374078,0.19775026296565298,0.1937955053022122
domain_index,8,88,-0.0035805775131700027,7.246163545645553,27.956333285716624,0.0862417057177492,64,0.16642903350018337,0.005847139048321283,rank stability (Spearman of score vs full-data group) = 0.84,0.28575559944559936,0.04068164148068445,0.019422251979788658,0.17844399563901495,0.026508689154683997,0.05274585422132583,0.062183550870217985,0.055475642884694504,0.05495812578373303
kmeans_pca_k3,3,196,0.1097403523830352,2.3096445887648365,114.10209021786297,0.07143939032743021,70,0.9349564894059492,0.04093878942543127,,0.2072464796900507,0.046522966229100945,0.035177293786576094,0.10217690197531143,0.0019457217729910257,0.0885142957895301,0.06274906518224495,0.04879791481332672,0.04982387370773984
composite_index,8,88,-0.008555511584492165,8.78794150236278,21.710416143712298,0.03388261943397614,53,0.9040803928140434,0.044846387407260505,rank stability (Spearman of score vs full-data group) = 0.99,0.12847807209355405,0.013775589339537847,0.005816722696437233,0.05052494347758286,0.01862315837271569,0.02259375244395459,0.017241204588425263,0.02402593046239085,0.023864201431186918
dbscan_pca,2,6,0.27512405868944945,0.9413573600665393,14.986250861607303,0.007700142447063223,14,0.7191218645175712,0.1630216479031756,,0.029967364558690382,0.01189022709215926,0.0057747410419707575,0.00045817189345205475,0.00017728501150261929,0.014344273291605657,0.005791114557838329,0.0003890673398320716,0.000509037236517875
