space,algo,k,silhouette,davies_bouldin,calinski_harabasz,n_clusters,n_noise,bic
raw,kmeans,3,0.1096434453720613,2.309643467191445,114.0987499331586,3,0,
raw,ward,3,0.07369658867136435,2.7130825543116504,85.18263261882966,3,0,
raw,gmm_diag,3,0.09543878905481362,2.373450237102215,110.04336101430506,3,0,134477.42949763016
raw,kmeans,4,0.11000629683917483,2.2853817763967554,94.35472019686007,4,0,
raw,ward,4,0.08334857965469032,2.4560187484071747,74.3807376337851,4,0,
raw,gmm_diag,4,0.09257929817778959,2.5671358745217407,87.07505516364058,4,0,131429.0667937942
raw,kmeans,5,0.09449282006067512,2.4547169340433337,80.14984950900144,5,0,
raw,ward,5,0.08064366479916217,2.484889862241854,67.87546677056618,5,0,
raw,gmm_diag,5,0.0733014281398081,2.594837758888122,74.2662773237563,5,0,129034.7887735126
raw,kmeans,6,0.09932405484867499,2.4096929848449533,71.10985891575736,6,0,
raw,ward,6,0.08796106222463007,2.4491665028407383,61.156412424665646,6,0,
raw,gmm_diag,6,0.08233465832236261,2.513331397189381,67.37485377266547,6,0,127716.58308387094
raw,kmeans,7,0.08880326806852085,2.442048532302532,64.6092993400747,7,0,
raw,ward,7,0.08385397900028674,2.334933164114538,56.914855290476645,7,0,
raw,gmm_diag,7,0.07690062800308248,2.5999675504898154,58.99905937500301,7,0,125918.00850192201
raw,kmeans,8,0.09882172898330327,2.3851517813997387,60.663524488344656,8,0,
raw,ward,8,0.07823300936796752,2.3453199731514722,53.51564590833948,8,0,
raw,gmm_diag,8,0.08820115028006548,2.326154227116267,57.23206619156691,8,0,124925.78751601133
raw,kmeans,9,0.09279355299435586,2.3535544589027397,56.9058322235607,9,0,
raw,ward,9,0.0840865264749863,2.3193380687736145,50.936499170127014,9,0,
raw,gmm_diag,9,0.08008514554276606,2.4597678492075263,53.32375893049063,9,0,123669.23448649893
raw,kmeans,10,0.09811174393670535,2.2715448918051635,53.921437981504376,10,0,
raw,ward,10,0.08612897759628647,2.355674928539215,49.00258656027242,10,0,
raw,gmm_diag,10,0.09651136957925174,2.3101167275369505,51.37520376366951,10,0,123278.59185156236
pca,kmeans,3,0.11003515556595996,2.309786483673132,114.09823834123563,3,0,
pca,ward,3,0.08380870654928091,2.7131381252119695,95.55806409975396,3,0,
pca,gmm_full,3,0.09493811631397377,2.489411740548794,99.3862438587101,3,0,67007.92499110305
pca,kmeans,4,0.11047944591427655,2.276387159031969,94.35862871949175,4,0,
pca,ward,4,0.08729774205378377,2.3632102410620215,81.38829443807296,4,0,
pca,gmm_full,4,0.09428729210486325,2.400421288753365,84.50047340451822,4,0,67457.28136567655
pca,kmeans,5,0.09569479385589591,2.446509612593117,80.17065747187857,5,0,
pca,ward,5,0.07689694313449157,2.3902139560171243,70.14790746729862,5,0,
pca,gmm_full,5,0.09364050733684577,2.2287892445134627,69.34667168421387,5,0,66846.84625084468
pca,kmeans,6,0.10139648036522338,2.357605024345618,70.91329084508185,6,0,
pca,ward,6,0.07778189189141221,2.332755736804168,62.33290498666334,6,0,
pca,gmm_full,6,0.07515884263137898,2.469911818329638,62.61986744415354,6,0,68809.71437658682
pca,kmeans,7,0.10862539663904797,2.2692413180467397,65.30280609765279,7,0,
pca,ward,7,0.08296463538351212,2.616264850088943,57.2691371543402,7,0,
pca,gmm_full,7,0.0999015443714081,2.293136891253634,60.3210310022037,7,0,70523.5745802666
pca,kmeans,8,0.09683463631883858,2.3756525504174517,60.692760503510215,8,0,
pca,ward,8,0.08922382243176602,2.4059636033880514,53.48939753592819,8,0,
pca,gmm_full,8,0.08240760665523862,2.3980703213465246,55.142057806575195,8,0,72115.49826233441
pca,kmeans,9,0.09249287026467848,2.377268169739056,56.918212523819534,9,0,
pca,ward,9,0.0900819584884925,2.3283702072517496,50.75127848875062,9,0,
pca,gmm_full,9,0.09582290231267777,2.3392719967834865,53.204341547425024,9,0,73983.61876255293
pca,kmeans,10,0.09825134214521399,2.337595558410356,53.907656724480105,10,0,
pca,ward,10,0.09808784843219182,2.3323400856780507,48.821314312770575,10,0,
pca,gmm_full,10,0.09505458918389813,2.2906135601704083,49.11501568386586,10,0,73064.32534798559
