state,district,cluster_2015,cluster_2019,n_indicators_available
Andaman Nicobar Islands,Nicobar,7,3,50
Andaman Nicobar Islands,North  & Middle Andaman,5,2,51
Andaman Nicobar Islands,South Andaman,2,2,51
Andhra Pradesh,Anantapur,0,0,51
Andhra Pradesh,Chittoor,0,0,51
Andhra Pradesh,East Godavari,0,0,51
Andhra Pradesh,Guntur,0,0,49
Andhra Pradesh,Krishna,0,0,49
Andhra Pradesh,Kurnool,6,0,51
Andhra Pradesh,Prakasam,0,0,50
Andhra Pradesh,Srikakulam,0,0,51
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,0,49
Andhra Pradesh,Visakhapatnam,0,0,50
Andhra Pradesh,Vizianagaram,0,0,50
Andhra Pradesh,West Godavari,0,0,49
Andhra Pradesh,Y.S.R.,0,0,51
Arunachal Pradesh,Anjaw,1,1,51
Arunachal Pradesh,Changlang,1,1,51
Arunachal Pradesh,Dibang Valley,1,1,50
Arunachal Pradesh,East Kameng,1,1,48
Arunachal Pradesh,Lower Dibang Valley,1,1,50
Arunachal Pradesh,Lower Subansiri,1,1,48
Arunachal Pradesh,Papum Pare,1,1,51
Arunachal Pradesh,Tawang,1,1,49
Arunachal Pradesh,Upper Siang,1,1,42
Arunachal Pradesh,Upper Subansiri,1,1,50
Arunachal Pradesh,West Kameng,1,1,50
Assam,Baksa,7,7,51
Assam,Barpeta,6,7,51
Assam,Bongaigaon,7,7,51
Assam,Cachar,6,7,51
Assam,Chirang,1,4,51
Assam,Darrang,6,7,51
Assam,Dhemaji,6,4,51
Assam,Dibrugarh,7,7,51
Assam,Dima Hasao,1,7,51
Assam,Goalpara,6,4,51
Assam,Golaghat,7,7,51
Assam,Hailakandi,6,7,51
Assam,Kamrup,7,7,51
Assam,Kamrup Metropolitan,2,7,51
Assam,Karimganj,6,7,51
Assam,Kokrajhar,7,7,51
Assam,Lakhimpur,7,4,51
Assam,Morigaon,6,4,51
Assam,Nalbari,7,7,51
Assam,Tinsukia,6,7,51
Assam,Udalguri,7,7,50
Bihar,Araria,6,6,51
Bihar,Arwal,6,6,51
Bihar,Aurangabad,6,6,51
Bihar,Banka,6,6,51
Bihar,Begusarai,6,6,51
Bihar,Bhagalpur,6,6,51
Bihar,Bhojpur,6,6,51
Bihar,Buxer,6,6,51
Bihar,Darbhanga,6,6,51
Bihar,Gaya,6,6,51
Bihar,Gopalganj,6,6,51
