district_a,district_b,score_a,score_b,score_gap,cluster_a,cluster_b,biggest_domain_gap,row_a,row_b
Nicobar (Andaman Nicobar Islands),Amritsar (Punjab),0.5757717490671338,0.5777086174221775,0.0019368683550436971,3,2,0.9218436796541958,0,466
Ernakulam (Kerala),Koraput (Odisha),0.6464996536428517,0.6471140409564717,0.0006143873136200684,3,4,0.9089447130288025,281,451
Dantewada (Chhattisgarh),Alappuzha (Kerala),0.6140094516315161,0.6160406437852519,0.002031192153735817,4,3,0.8820157208795699,114,280
Pathanamthitta (Kerala),Rayagada (Odisha),0.5994602522678962,0.5997608321426621,0.00030057987476583836,3,4,0.8499853224510319,290,458
Anand (Gujarat),Nicobar (Andaman Nicobar Islands),0.5755256980640651,0.5757717490671338,0.00024605100306873684,7,3,0.8489482387289631,141,0
Aizawl (Mizoram),South Salmara Mancachar (Assam),0.5626807887610773,0.562707176413988,2.6387652910742077e-05,7,6,0.8462047574221898,402,65
Prakasam (Andhra Pradesh),Hardoi (Uttar Pradesh),0.5272415241679326,0.5299301064663668,0.002688582298434272,0,6,0.845303987316229,9,642
Kaushambi (Uttar Pradesh),Hyderabad (Telangana),0.5641762441493862,0.5669547946838788,0.0027785505344926076,6,0,0.8401160339721302,651,559
Hardoi (Uttar Pradesh),Imphal West (Manipur),0.5299301064663668,0.5315794318075068,0.001649325341139929,6,2,0.8347039959658946,642,386
South Salmara Mancachar (Assam),Suryapet (Telangana),0.562707176413988,0.5637627059031259,0.0010555294891378963,6,0,0.8341840340814014,65,582
Kaushambi (Uttar Pradesh),North West (NCT Delhi),0.5641762441493862,0.5674274907317932,0.0032512465824070524,6,2,0.8326034704005236,651,426
Prakasam (Andhra Pradesh),Sitapur (Uttar Pradesh),0.5272415241679326,0.5284076577028505,0.0011661335349179014,0,6,0.8306970881856317,9,679
Chhota Udaipur (Gujarat),Kannur (Kerala),0.6207035388215992,0.6228907645298017,0.0021872257082025115,4,3,0.8213759435284672,147,283
Sitapur (Uttar Pradesh),Imphal West (Manipur),0.5284076577028505,0.5315794318075068,0.0031717741046562997,6,2,0.8200970968352973,679,386
Aizawl (Mizoram),Kaushambi (Uttar Pradesh),0.5626807887610773,0.5641762441493862,0.001495455388308864,7,6,0.8145739394548877,402,651
Simdega (Jharkhand),Karimnagar (Telangana),0.5447764826530025,0.5475981040418536,0.0028216213888511144,6,0,0.81321447452309,249,565
Kozhikode (Kerala),Jhalawar (Rajasthan),0.6576581655154256,0.6591029291459779,0.0014447636305523481,3,4,0.8116259235125021,287,507
Nicobar (Andaman Nicobar Islands),Jyotiba Phule Nagar (Uttar Pradesh),0.5757717490671338,0.57842636425749,0.0026546151903562576,3,6,0.8076349166602975,0,646
Nicobar (Andaman Nicobar Islands),Gadag (Karnataka),0.5757717490671338,0.577983474830983,0.002211725763849204,3,7,0.8064323460182067,0,264
Nicobar (Andaman Nicobar Islands),Raichur (Karnataka),0.5757717490671338,0.5764841057381199,0.0007123566709861251,3,6,0.8030641368553464,0,273
Suryapet (Telangana),Kaushambi (Uttar Pradesh),0.5637627059031259,0.5641762441493862,0.0004135382462602255,0,6,0.8025532161140992,582,651
Jogulamba Gadwal (Telangana),Pathanamthitta (Kerala),0.5991838182749398,0.5994602522678962,0.00027643399295640414,0,3,0.7938169091568626,563,290
Bijapur (Karnataka),Nicobar (Andaman Nicobar Islands),0.574116659112425,0.5757717490671338,0.001655089954708755,7,3,0.7920862121883547,256,0
Thrissur (Kerala),Jogulamba Gadwal (Telangana),0.5967346497432651,0.5991838182749398,0.0024491685316747613,3,0,0.7904232439984917,292,563
Nicobar (Andaman Nicobar Islands),Bareilly (Uttar Pradesh),0.5757717490671338,0.5779731761991597,0.0022014271320258683,3,6,0.79006690829683,0,621
Pratapgarh (Rajasthan),Ernakulam (Kerala),0.6452100364707526,0.6464996536428517,0.0012896171720990779,4,3,0.7857791093505976,514,281
Pathanamthitta (Kerala),Narayanpur (Chhattisgarh),0.5994602522678962,0.6024117263860163,0.0029514741181200232,3,4,0.7806343762753079,290,126
Imphal West (Manipur),Fatehpur (Uttar Pradesh),0.5315794318075068,0.534897099286504,0.0033176674789971994,2,6,0.776860675408729,386,633
Shrawasti (Uttar Pradesh),East Khasi Hills (Meghalaya),0.4801236279940945,0.4814867384412738,0.0013631104471792943,6,1,0.7715664511030338,677,393
Kodagaon (Chhattisgarh),Pathanamthitta (Kerala),0.5992936298998093,0.5994602522678962,0.00016662236808695496,4,3,0.7687931289974074,121,290
Latehar (Jharkhand),Kottayam (Kerala),0.5596472793810376,0.560417011108379,0.000769731727341405,6,3,0.7679259496430353,239,286
Thrissur (Kerala),Kodagaon (Chhattisgarh),0.5967346497432651,0.5992936298998093,0.0025589801565442105,3,4,0.7653994638390365,292,121
Nicobar (Andaman Nicobar Islands),Koppal (Karnataka),0.5757717490671338,0.576640610517683,0.0008688614505492076,3,4,0.7638513279174647,0,270
Sangrur (Punjab),Dindori (Madhya Pradesh),0.5878076622903983,0.5881854868243642,0.0003778245339659536,2,4,0.7624638498246166,485,312
Ganderbal (Jammu Kashmir),Alappuzha (Kerala),0.6156180406859235,0.6160406437852519,0.00042260309932840023,5,3,0.7609981226586358,211,280
Sukma (Chhattisgarh),Kapurthala (Punjab),0.5823770192058276,0.5837130637206458,0.0013360445148181688,4,2,0.7571075844581328,130,476
Fatehpur (Uttar Pradesh),Saiha (Mizoram),0.534897099286504,0.5356246320667303,0.0007275327802263032,6,1,0.7549933927665315,633,408
Sultanpur (Uttar Pradesh),Nicobar (Andaman Nicobar Islands),0.5729014577031063,0.5757717490671338,0.0028702913640274996,7,3,0.7544828312168401,681,0
Alappuzha (Kerala),Patan (Gujarat),0.6160406437852519,0.6162509988002122,0.00021035501496025066,3,7,0.7512217253755741,280,162
Bhilwara (Rajasthan),Kozhikode (Kerala),0.6554087422902692,0.6576581655154256,0.0022494232251563107,4,3,0.7511872723711971,494,287
West Kameng (Arunachal Pradesh),Pashchimi Singhbhum (Jharkhand),0.5179377912186482,0.5194224895418925,0.0014846983232442712,1,6,0.7489379020862763,34,243
Cachar (Assam),West Kameng (Arunachal Pradesh),0.517274294156777,0.5179377912186482,0.0006634970618712988,7,1,0.7480775768865109,40,34
Mungeli (Chhattisgarh),Alappuzha (Kerala),0.6157970188732744,0.6160406437852519,0.00024362491197749137,4,3,0.7477551726348404,125,280
Ghaziabad (Uttar Pradesh),Sukma (Chhattisgarh),0.5822205192258598,0.5823770192058276,0.00015649997996780574,2,4,0.7461928301119877,636,130
Kottayam (Kerala),Dahod (Gujarat),0.560417011108379,0.5610139470745242,0.0005969359661451845,3,4,0.7452244450824574,286,148
Kamrup Metropolitan (Assam),Simdega (Jharkhand),0.5423008528057629,0.5447764826530025,0.002475629847239591,7,6,0.7446850305081928,54,249
Ashoknagar (Madhya Pradesh),Thrissur (Kerala),0.5963376316816799,0.5967346497432651,0.00039701806158520814,4,3,0.7434726926797892,299,292
Narmada (Gujarat),Alappuzha (Kerala),0.6151391678079263,0.6160406437852519,0.0009014759773255943,4,3,0.7420496630566714,159,280
