indicator,within_state_share
sex_ratio_at_birth,0.8913806438821887
ari_prevalence,0.7905677532084889
vaccinated_public_facility,0.7367289526726055
bcg,0.7208006435260033
diarrhoea_prevalence,0.701266467078858
vaccinated_private_facility,0.6590373839135348
fully_vaccinated_card_only,0.6514198725673406
measles_dose1,0.6343741944393306
iodized_salt,0.6316251285986538
dpt3_penta3,0.6226580670015466
fp_unmet_need_total,0.6174504110790661
fully_vaccinated_card_or_recall,0.6150237475433395
fp_any_method,0.6144522962940193
hepb3_penta3,0.6029014418365619
fp_worker_talked_to_nonusers,0.5837573214296936
electricity,0.5796541514006275
tetanus_protected_birth,0.5749476728615045
measles_dose2,0.5728447651844306
women_bp_moderate_severe,0.5476416300542197
men_blood_sugar_high,0.5395507762328844
sex_ratio_total,0.5253788882983673
improved_water,0.5213461214515053
women_bp_mildly_elevated,0.5039646356515299
women_blood_sugar_high,0.4934743879259581
mcp_card_received,0.4799888278639002
improved_sanitation,0.47973004257529384
birth_order_3plus,0.4749858969875145
adequate_diet_breastfed,0.47384348647539054
fp_told_side_effects,0.4677171163236964
home_births_skilled,0.46565584071890853
anc_first_trimester,0.4637814210699167
fp_unmet_need_spacing,0.45957633133448206
teen_pregnancy,0.4524345417377358
men_bp_mildly_elevated,0.42987112959803964
men_bp_moderate_severe,0.4242317060154841
institutional_births_public,0.4241921155475088
married_before_18,0.4234569677359722
preprimary_school,0.42305764163778437
skilled_birth_attendance,0.4220853287443096
women_literate,0.41601122721782435
women_bp_elevated_or_medicated,0.41310189451464807
fp_any_modern_method,0.403730148032614
men_blood_sugar_very_high,0.4000863740060404
oral_cancer_exam,0.3969095293213415
breast_cancer_exam,0.3968127420877601
men_bp_elevated_or_medicated,0.3882756688638229
men_blood_sugar_high_or_medicated,0.3862102805784454
cervical_cancer_screening,0.3835656311807758
female_ever_attended_school,0.38339977291709804
women_alcohol_use,0.3829388506315736
women_10yr_schooling,0.3783385212662652
institutional_births,0.36903468762370895
women_high_waist_hip_ratio,0.3672765135640692
vitamin_a_dose,0.35095997262549794
clean_cooking_fuel,0.34250398329361365
women_blood_sugar_very_high,0.3423643288408371
pop_below_15,0.3413001458750329
hygienic_menstrual_protection,0.33807878065405417
women_blood_sugar_high_or_medicated,0.33471781519409693
early_breastfeeding_1h,0.3336537345291122
women_bmi_below_normal,0.32054204593851243
women_overweight_obese,0.3119695766030245
pnc_mother_2days,0.3116497378805063
oop_delivery_public_rs,0.3068597638728544
birth_registered,0.2945989395136682
men_alcohol_use,0.28465665139201723
pnc_newborn_2days,0.26541219471453004
anc_4plus_visits,0.26537220416682994
caesarean_total,0.2559914206228233
caesarean_public,0.25281964203715224
men_tobacco_use,0.24217037695134658
ifa_100_days,0.23779305190020905
women_tobacco_use,0.2291309164991877
ifa_180_days,0.2243870974883697
death_registered,0.1751632888161826
rotavirus3,0.11857855590129152
health_insurance,0.0897812553900521
